Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 6, 'l2_leaf_reg': 0.14642636433730596, 'learning_rate': 0.3309466283352577, 'n_estimators': 339}",0.2608985315537335,0.20288874344529892,0.8631035188216039,0.6896160914253027,0.7016413424887167
"{'depth': 8, 'l2_leaf_reg': 0.11002094791917921, 'learning_rate': 0.4934280568911248, 'n_estimators': 102}",0.25968951282757785,0.20512454905994093,0.8629296235679215,0.6892434689221503,0.7009466582010205
"{'depth': 6, 'l2_leaf_reg': 0.0258014780212234, 'learning_rate': 0.2990554581666141, 'n_estimators': 395}",0.2584416161935283,0.20260863467427132,0.8640343698854338,0.6899635574568138,0.7017063978860181
"{'depth': 7, 'l2_leaf_reg': 0.1278017617954396, 'learning_rate': 0.38812040257400593, 'n_estimators': 193}",0.25564824938747244,0.20009973274740345,0.8632194489907257,0.6887302059650084,0.700361995443802
"{'depth': 8, 'l2_leaf_reg': 0.1813395318225886, 'learning_rate': 0.21282850835064604, 'n_estimators': 397}",0.2548669128231651,0.20958914783042312,0.8655346426623023,0.6935999820441576,0.7026740604946811
"{'depth': 7, 'l2_leaf_reg': 0.05322623204804233, 'learning_rate': 0.23134497108339613, 'n_estimators': 473}",0.25452791443833983,0.21545390087499902,0.8647742771412984,0.6947668374377415,0.7022777017446739
"{'depth': 7, 'l2_leaf_reg': 0.038186233644531636, 'learning_rate': 0.24557789859573254, 'n_estimators': 578}",0.2505689039379769,0.21126278799778717,0.8663632024004364,0.6950374121104718,0.7025783624054814
"{'depth': 10, 'l2_leaf_reg': 0.01257819042627173, 'learning_rate': 0.25832451152095265, 'n_estimators': 189}",0.24808412074624084,0.22327279243901108,0.8651493453355157,0.6960867909382472,0.7010443047792332
"{'depth': 7, 'l2_leaf_reg': 0.24278746317095687, 'learning_rate': 0.39088101429833133, 'n_estimators': 358}",0.24455314875940468,0.2062364133610715,0.8656028368794326,0.6931051798647557,0.7004888381672355
"{'depth': 11, 'l2_leaf_reg': 0.02813284559671622, 'learning_rate': 0.20481918007317224, 'n_estimators': 158}",0.24372807488606513,0.2095946019650468,0.8652209492635026,0.692929168048063,0.6998306764435134
"{'depth': 11, 'l2_leaf_reg': 0.19201939330674617, 'learning_rate': 0.2105899853452467, 'n_estimators': 232}",0.24370234641280755,0.20931293486984096,0.8668644298963446,0.6945025674368777,0.7012886450227644
"{'depth': 7, 'l2_leaf_reg': 0.1752203212887998, 'learning_rate': 0.7709404292623019, 'n_estimators': 111}",0.24169156809205233,0.21154951964657207,0.8592334969994544,0.6877486430635221,0.6940150751376043
