Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 10, 'l2_leaf_reg': 0.057055627819922065, 'learning_rate': 0.31955309503031515, 'n_estimators': 133}",0.24221557297423413,0.21517885665755046,0.8628818876159302,0.6928315638298719,0.6978162265181137
"{'depth': 10, 'l2_leaf_reg': 0.030252810774703254, 'learning_rate': 0.20990979791582687, 'n_estimators': 351}",0.23665510582430657,0.21182534302610975,0.865081151118385,0.6946438833539503,0.6986996546456756
"{'depth': 12, 'l2_leaf_reg': 0.08630235520584198, 'learning_rate': 0.22352037496205723, 'n_estimators': 169}",0.2326658822114677,0.21098774378033863,0.8644980905619203,0.693181517391127,0.696962902579324
"{'depth': 13, 'l2_leaf_reg': 0.17941780923874678, 'learning_rate': 0.27254961822109286, 'n_estimators': 153}",0.22271682134320642,0.20903516358508062,0.8630250954719039,0.6916692578612051,0.6936214033342093
"{'depth': 10, 'l2_leaf_reg': 0.11908035234072437, 'learning_rate': 0.48697679394050475, 'n_estimators': 281}",0.21441827253230974,0.20595981081944478,0.8603893889798144,0.6898637556636043,0.6898668258257312
"{'depth': 13, 'l2_leaf_reg': 0.14236250663275632, 'learning_rate': 0.42062292284266095, 'n_estimators': 173}",0.20466596473093174,0.20540972238454763,0.8585515548281506,0.6883086585926351,0.6863369424270381
"{'depth': 13, 'l2_leaf_reg': 0.16270662885236253, 'learning_rate': 0.2270927203872729, 'n_estimators': 370}",0.2023124869371173,0.2056820395346844,0.8600722858701582,0.6895679576512588,0.6870507753763946
"{'depth': 13, 'l2_leaf_reg': 0.1008556211462772, 'learning_rate': 0.357188117811708, 'n_estimators': 242}",0.19964349982121088,0.19870970758046796,0.8576002454991818,0.6855599030851212,0.6841379392111884
"{'depth': 12, 'l2_leaf_reg': 0.05196307563525937, 'learning_rate': 0.4540633665120356, 'n_estimators': 139}",0.19389933717429425,0.2051241594788964,0.8585242771412984,0.6865546500680917,0.6835208501765165
"{'depth': 11, 'l2_leaf_reg': 0.09264562912574509, 'learning_rate': 0.5468362306073601, 'n_estimators': 186}",0.19226539975367762,0.2187953374940589,0.8556805782869613,0.6895884022123013,0.6819083195416126
