Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 9, 'l2_leaf_reg': 0.10025769053238595, 'learning_rate': 0.24252053134458587, 'n_estimators': 100}",0.26474727184110575,0.2042873393952144,0.8599563557010365,0.686581503414496,0.6995233267569775
"{'depth': 7, 'l2_leaf_reg': 0.11598388863097861, 'learning_rate': 0.2023303640483457, 'n_estimators': 225}",0.26271388573232113,0.2020550400099733,0.858895935624659,0.6849993902681877,0.6980253887858222
"{'depth': 8, 'l2_leaf_reg': 0.21435511462121978, 'learning_rate': 0.27754898874819106, 'n_estimators': 115}",0.2616845117752261,0.20261214090367222,0.8574911347517731,0.683881915080298,0.6965909059921997
"{'depth': 6, 'l2_leaf_reg': 0.1987687703429577, 'learning_rate': 0.24472971572018426, 'n_estimators': 492}",0.2597002768338747,0.2079104431094801,0.8627182214948173,0.6902203705373908,0.7010116859036717
"{'depth': 6, 'l2_leaf_reg': 0.10844936982516723, 'learning_rate': 0.22227065018490588, 'n_estimators': 238}",0.258691975626468,0.19982118230055398,0.8562056737588651,0.681526617136297,0.6944561110107739
"{'depth': 7, 'l2_leaf_reg': 0.21209503524621096, 'learning_rate': 0.28455743492851626, 'n_estimators': 235}",0.25839071073473047,0.2023332008757782,0.8618521549372613,0.6877678243526013,0.6997157619284733
"{'depth': 6, 'l2_leaf_reg': 0.21360442583531322, 'learning_rate': 0.6167782425839194, 'n_estimators': 131}",0.2563407576972455,0.20205581917206236,0.8575150027277687,0.6840507286022649,0.6955512673692722
"{'depth': 10, 'l2_leaf_reg': 0.2159790150154169, 'learning_rate': 0.22698574276100336, 'n_estimators': 156}",0.25631721140000446,0.2095934332219132,0.8632364975450082,0.6915200974937361,0.7009718458639542
"{'depth': 6, 'l2_leaf_reg': 0.14602197090833222, 'learning_rate': 0.4942030393286243, 'n_estimators': 297}",0.25539426776608265,0.21350093109869644,0.8616782596835788,0.6908717205234659,0.6994128712596603
"{'depth': 7, 'l2_leaf_reg': 0.04218870070113348, 'learning_rate': 0.25904460757303727, 'n_estimators': 323}",0.2546422015428207,0.2076365676351651,0.8627523186033825,0.690660306152405,0.7001208201828373
"{'depth': 6, 'l2_leaf_reg': 0.12285510081366915, 'learning_rate': 0.39300275558322106, 'n_estimators': 264}",0.25242654064149395,0.20288991218843258,0.8605223677032189,0.6872383571356785,0.6974289020906541
"{'depth': 7, 'l2_leaf_reg': 0.12810592369648327, 'learning_rate': 0.4375918834750332, 'n_estimators': 108}",0.2522040170246059,0.19926563973103328,0.8572285870158212,0.6825707304489133,0.6940184393597406
"{'depth': 8, 'l2_leaf_reg': 0.0023554805989108862, 'learning_rate': 0.21335442981956687, 'n_estimators': 381}",0.2503795481553784,0.2134950873830283,0.8634240316421169,0.6927133990770458,0.699924320731749
"{'depth': 9, 'l2_leaf_reg': 0.0938101192107822, 'learning_rate': 0.3251230866058979, 'n_estimators': 241}",0.24478925492718986,0.21685054891969174,0.8638604746317512,0.6942722951289955,0.6993643028878344
"{'depth': 7, 'l2_leaf_reg': 0.24751050922393608, 'learning_rate': 0.5085761656384795, 'n_estimators': 211}",0.24387336491932987,0.21349703528825098,0.8623738406983088,0.6917239538877904,0.6975315666723939
"{'depth': 6, 'l2_leaf_reg': 0.04237676488530895, 'learning_rate': 0.5614989584812451, 'n_estimators': 268}",0.2423263556808979,0.20652236584776734,0.8605019094380797,0.6883049007226025,0.695414443648868
"{'depth': 11, 'l2_leaf_reg': 0.20609168732018626, 'learning_rate': 0.3267480851605741, 'n_estimators': 101}",0.24214662271766252,0.21573128257871485,0.8622988270594654,0.6920477745153091,0.6971071445760229
"{'depth': 6, 'l2_leaf_reg': 0.2315149318291295, 'learning_rate': 0.7277528066066026, 'n_estimators': 257}",0.2410164715473416,0.21238244391980862,0.8621556192034916,0.6903705107823735,0.6963564407717341
"{'depth': 9, 'l2_leaf_reg': 0.207828153715208, 'learning_rate': 0.26096089716996673, 'n_estimators': 329}",0.2386742797317082,0.21488822919832012,0.8640070921985815,0.6931645937770069,0.6977215684684155
"{'depth': 7, 'l2_leaf_reg': 0.10415853557107674, 'learning_rate': 0.7094361540689673, 'n_estimators': 132}",0.23845117115664216,0.2059730565749593,0.8597824604473541,0.6872947788245505,0.693776836810483
"{'depth': 8, 'l2_leaf_reg': 0.1647673953382344, 'learning_rate': 0.5067552064944182, 'n_estimators': 154}",0.23677934620030688,0.21852457866810032,0.86049168030551,0.6910142533867949,0.6944193226174095
"{'depth': 9, 'l2_leaf_reg': 0.10119916154326347, 'learning_rate': 0.4849749101937108, 'n_estimators': 102}",0.23603366323815758,0.21545156338873178,0.86110883797054,0.6906555772629817,0.6946009852695756
"{'depth': 8, 'l2_leaf_reg': 0.02526739118924945, 'learning_rate': 0.22829469662585844, 'n_estimators': 444}",0.23599042512411006,0.21070023296946463,0.8642764593562466,0.692946838850846,0.6975283341437299
"{'depth': 8, 'l2_leaf_reg': 0.23513718817374382, 'learning_rate': 0.31780811798160935, 'n_estimators': 425}",0.231814597408163,0.2204802755117147,0.8636013366066558,0.6949435697640025,0.696383423972291
