Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'min_child_weight': 0.4, 'max_depth': 10, 'learning_rate': 0.04}",0.11117666566000993,0.06140068076318365,0.7906096563011458,0.570077722015877,0.5726952433845515
"{'min_child_weight': 0.6, 'max_depth': 10, 'learning_rate': 0.02}",0.10908340047581767,0.060005747005599824,0.7896003818876158,0.5678129846645582,0.5689364502543128
"{'min_child_weight': 0.6, 'max_depth': 8, 'learning_rate': 0.05}",0.10787622126451145,0.059168693303804004,0.7901732133115112,0.5693918466120619,0.5719524671388961
"{'min_child_weight': 0.4, 'max_depth': 9, 'learning_rate': 0.03}",0.10740976151719506,0.05916892692191781,0.7897742771412984,0.5679271179564105,0.5690991055882938
"{'min_child_weight': 0.2, 'max_depth': 8, 'learning_rate': 0.04}",0.10286683979666818,0.05609848405205945,0.7890548281505728,0.5652161468474021,0.5638856830036598
"{'min_child_weight': 0.6, 'max_depth': 8, 'learning_rate': 0.04}",0.10271968773043166,0.05609895128828709,0.789017321331151,0.5649618035614036,0.5631832772434079
"{'min_child_weight': 0.8, 'max_depth': 8, 'learning_rate': 0.03}",0.08792178560235708,0.0477291151246703,0.7869169394435351,0.555737670382549,0.5429978943783608
"{'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01}",0.07445623875604411,0.03963307939044362,0.7827298145117294,0.5474949235510883,0.5262701676629379
"{'min_child_weight': 0.8, 'max_depth': 7, 'learning_rate': 0.04}",0.06930827668661824,0.03684087569413782,0.7864804964539007,0.5529073949743791,0.538543409529232
"{'min_child_weight': 0.4, 'max_depth': 7, 'learning_rate': 0.01}",0.06604991265162453,0.03488759464453836,0.7821740316421167,0.5459250499773367,0.5238432753778645
"{'min_child_weight': 0.8, 'max_depth': 7, 'learning_rate': 0.03}",0.06434084972045195,0.03405007370651491,0.7842641843971631,0.5486125955587585,0.5294274974235628
"{'min_child_weight': 0.6, 'max_depth': 6, 'learning_rate': 0.04}",0.06219435658224345,0.03293384635871127,0.7835686033824332,0.5479990803136565,0.5291532241594643
"{'min_child_weight': 0.2, 'max_depth': 6, 'learning_rate': 0.02}",0.050392272764739926,0.026236015035661805,0.7822013093289689,0.5435722476989725,0.518981115726814
"{'min_child_weight': 0.6, 'max_depth': 6, 'learning_rate': 0.02}",0.049898838429842114,0.0259570750077678,0.7821978996181124,0.543502277166686,0.5188517220803696
"{'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.02}",0.04987921132807183,0.0259570750077678,0.7822047190398255,0.5435100267267944,0.518863717601339
