Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'min_child_weight': 0.2, 'max_depth': 10, 'learning_rate': 0.03}",0.11925497729292325,0.06558207303865424,0.7904596290234588,0.570405211805655,0.5734027360445914
"{'min_child_weight': 0.6, 'max_depth': 10, 'learning_rate': 0.03}",0.11598557732577008,0.06362871368130711,0.7903300600109111,0.569892916070043,0.5726259439345635
"{'min_child_weight': 0.4, 'max_depth': 9, 'learning_rate': 0.05}",0.11148005132344843,0.06111552636294928,0.7906028368794326,0.5703072163566354,0.5734143403341939
"{'min_child_weight': 0.8, 'max_depth': 8, 'learning_rate': 0.05}",0.10995962263162021,0.05999859750823964,0.7900641025641025,0.569380005182784,0.5721228730248145
"{'min_child_weight': 0.2, 'max_depth': 8, 'learning_rate': 0.04}",0.10244425330366565,0.05581177002251778,0.7887752318603383,0.5640714255710704,0.5613518085001867
"{'min_child_weight': 0.4, 'max_depth': 9, 'learning_rate': 0.02}",0.10177293873885099,0.05525895452030886,0.7876432078559737,0.559885797379808,0.5519116599670256
"{'min_child_weight': 0.6, 'max_depth': 8, 'learning_rate': 0.04}",0.10169142512840516,0.05525388996672979,0.7883694762684125,0.5625982532536569,0.5582703434397819
"{'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.04}",0.09992427657765585,0.054137740274109225,0.7886422531369341,0.5634455114327734,0.560298118802422
"{'min_child_weight': 0.6, 'max_depth': 8, 'learning_rate': 0.03}",0.09051162266513008,0.048837490163078624,0.7875170485542826,0.556549439513413,0.5443744082163405
"{'min_child_weight': 0.6, 'max_depth': 9, 'learning_rate': 0.01}",0.08949732638439858,0.04827883094520153,0.7846017457719585,0.5542096614779216,0.5415386812816563
"{'min_child_weight': 0.4, 'max_depth': 8, 'learning_rate': 0.01}",0.07463439329310292,0.03962935259422018,0.78302304964539,0.5490701402099576,0.5306857551850668
"{'min_child_weight': 0.6, 'max_depth': 7, 'learning_rate': 0.04}",0.07200259055604788,0.03823075664430471,0.7869510365521004,0.5539320394793155,0.5406005152595665
"{'min_child_weight': 0.8, 'max_depth': 7, 'learning_rate': 0.04}",0.07108821670785434,0.03767365575060579,0.7866646208401527,0.5535033540442633,0.5399354437123979
"{'min_child_weight': 0.2, 'max_depth': 7, 'learning_rate': 0.01}",0.06862480813686068,0.03627895561113579,0.7821569830878341,0.5462078476892497,0.524361131348851
"{'min_child_weight': 0.8, 'max_depth': 7, 'learning_rate': 0.02}",0.06824418087596683,0.036000015583241785,0.782726404800873,0.5464413229743473,0.5241696413500891
"{'min_child_weight': 0.8, 'max_depth': 6, 'learning_rate': 0.04}",0.06422223766984901,0.03376576829277795,0.7836470267321332,0.5482319113876799,0.5295530694081304
"{'min_child_weight': 0.2, 'max_depth': 6, 'learning_rate': 0.04}",0.06371985750808859,0.033486828264883944,0.7835992907801418,0.5479906106693724,0.5289263497689698
"{'min_child_weight': 0.8, 'max_depth': 6, 'learning_rate': 0.03}",0.057702815164322366,0.03013837918702228,0.7824604473540644,0.5451984459082589,0.5227490625992643
"{'min_child_weight': 0.4, 'max_depth': 6, 'learning_rate': 0.01}",0.04857638708476397,0.025116289941796592,0.7818023731587561,0.542667103997676,0.5170071865035863
"{'min_child_weight': 0.6, 'max_depth': 6, 'learning_rate': 0.01}",0.047545274140563185,0.024558409886008586,0.7817989634478997,0.542529727610721,0.5167491600865658
