iter	Passed	Remaining
0	525	157037
1	1012	150810
2	1522	150687
3	2016	149217
4	2524	148960
5	3028	148409
6	3526	147595
7	4010	146376
8	4524	146279
9	5024	145714
10	5503	144597
11	5990	143771
12	6491	143308
13	6982	142640
14	7462	141790
15	7963	141360
16	8450	140671
17	8953	140270
18	9444	139675
19	9938	139143
20	10425	138509
21	10917	137953
22	11435	137723
23	11932	137221
24	12429	136722
25	12921	136170
26	13407	135566
27	13901	135042
28	14401	134581
29	14902	134121
30	15406	133685
31	15901	133176
32	16379	132528
33	16860	131907
34	17352	131384
35	17844	130856
36	18345	130404
37	18824	129788
38	19310	129228
39	19801	128708
40	20301	128244
41	20789	127707
42	21282	127201
43	21785	126750
44	22263	126157
45	22749	125615
46	23244	125123
47	23721	124540
48	24205	123993
49	24711	123558
50	25223	123150
51	25723	122680
52	26220	122195
53	26730	121774
54	27230	121301
55	27716	120766
56	28179	120131
57	28644	119517
58	29123	118960
59	29612	118451
60	30097	117924
61	30587	117416
62	31058	116838
63	31549	116339
64	32058	115904
65	32555	115424
66	33041	114904
67	33523	114375
68	34020	113896
69	34516	113412
70	35019	112949
71	35532	112520
72	36043	112081
73	36560	111657
74	37077	111231
75	37588	110786
76	38102	110347
77	38614	109903
78	39120	109437
79	39619	108954
80	40115	108460
81	40638	108038
82	41142	107565
83	41659	107123
84	42165	106652
85	42665	106166
86	43162	105674
87	43655	105169
88	44164	104704
89	44659	104204
90	45149	103694
91	45634	103173
92	46128	102672
93	46624	102176
94	47122	101684
95	47628	101210
96	48115	100695
97	48618	100214
98	49122	99733
99	49619	99238
100	50123	98759
101	50634	98289
102	51132	97797
103	51610	97266
104	52120	96795
105	52593	96255
106	53081	95746
107	53578	95249
108	54078	94761
109	54560	94240
110	55051	93736
111	55543	93234
112	56031	92724
113	56521	92218
114	56996	91689
115	57487	91187
116	57979	90685
117	58465	90175
118	58952	89666
119	59441	89162
120	59925	88650
121	60412	88142
122	60899	87635
123	61387	87130
124	61878	86630
125	62358	86114
126	62853	85618
127	63349	85126
128	63867	84661
129	64354	84155
130	64848	83659
131	65347	83170
132	65838	82669
133	66329	82169
134	66813	81661
135	67304	81161
136	67792	80658
137	68275	80149
138	68764	79648
139	69257	79151
140	69746	78650
141	70230	78143
142	70717	77641
143	71210	77145
144	71695	76639
145	72186	76142
146	72661	75627
147	73161	75139
148	73654	74642
149	74152	74152
150	74650	73662
151	75141	73163
152	75621	72655
153	76117	72162
154	76602	71660
155	77103	71172
156	77596	70676
157	78087	70179
158	78575	69680
159	79085	69200
160	79575	68702
161	80064	68203
162	80555	67706
163	81052	67214
164	81549	66722
165	82036	66222
166	82532	65729
167	83020	65230
168	83505	64729
169	83992	64229
170	84473	63725
171	84963	63228
172	85454	62732
173	85948	62238
174	86434	61738
175	86931	61247
176	87434	60759
177	87930	60266
178	88425	59773
179	88917	59278
180	89412	58785
181	89908	58292
182	90406	57800
183	90908	57311
184	91408	56821
185	91923	56340
186	92407	55839
187	92901	55345
188	93389	54847
189	93881	54352
190	94377	53859
191	94875	53367
192	95368	52872
193	95859	52376
194	96343	51877
195	96834	51381
196	97333	50889
197	97821	50392
198	98315	49898
199	98810	49405
200	99303	48910
201	99789	48412
202	100276	47915
203	100768	47420
204	101275	46932
205	101758	46433
206	102252	45939
207	102750	45447
208	103236	44949
209	103729	44455
210	104225	43962
211	104723	43470
212	105223	42978
213	105717	42484
214	106216	41992
215	106711	41498
216	107205	41005
217	107701	40511
218	108201	40019
219	108701	39527
220	109201	39035
221	109697	38542
222	110195	38049
223	110686	37554
224	111196	37065
225	111699	36574
226	112187	36078
227	112681	35583
228	113177	35089
229	113675	34596
230	114169	34102
231	114672	33610
232	115175	33119
233	115670	32625
234	116170	32132
235	116665	31637
236	117171	31146
237	117673	30654
238	118167	30159
239	118668	29667
240	119171	29174
241	119669	28681
242	120167	28187
243	120658	27692
244	121165	27200
245	121660	26705
246	122149	26210
247	122644	25715
248	123144	25222
249	123631	24726
250	124120	24230
251	124608	23734
252	125099	23239
253	125599	22746
254	126086	22250
255	126589	21757
256	127125	21269
257	127603	20772
258	128103	20278
259	128602	19785
260	129098	19290
261	129595	18796
262	130093	18302
263	130588	17807
264	131080	17312
265	131572	16817
266	132067	16323
267	132572	15829
268	133075	15335
269	133569	14841
270	134067	14346
271	134569	13852
272	135047	13356
273	135536	12861
274	136034	12366
275	136523	11871
276	137013	11376
277	137505	10881
278	137990	10386
279	138488	9892
280	138991	9398
281	139501	8904
282	140015	8410
283	140537	7917
284	141030	7422
285	141544	6928
286	142044	6434
287	142578	5940
288	143098	5446
289	143631	4952
290	144122	4457
291	144623	3962
292	145121	3467
293	145609	2971
294	146104	2476
295	146600	1981
296	147100	1485
297	147598	990
298	148093	495
299	148585	0
